Month,Site,Quadrat,Image.Name,Coral.ID,Longest.cm,Bleaching
March,1,1,_MCR0313,L1Q01C01,NA,1
March,1,1,_MCR0313,L1Q01C02,NA,1
March,1,1,_MCR0313,L1Q01C03,NA,0
March,1,1,_MCR0313,L1Q01C04,NA,0
March,1,1,_MCR0313,L1Q01C05,NA,0
March,1,1,_MCR0313,L1Q01C06,NA,2
March,1,1,_MCR0313,L1Q01C07,NA,0
March,1,1,_MCR0313,L1Q01C08,NA,0
March,1,1,_MCR0313,L1Q01C09,NA,1
March,1,1,_MCR0313,L1Q01C10,NA,2
March,1,1,_MCR0313,L1Q01C11,NA,0
March,1,1,_MCR0313,L1Q01C12,NA,0
March,1,1,_MCR0313,L1Q01C13,NA,1
March,1,1,_MCR0313,L1Q01C14,NA,0
March,1,1,_MCR0313,L1Q01C15,NA,3
March,1,2,_MCR0314,L1Q02C01,NA,1
March,1,2,_MCR0314,L1Q02C02,NA,2
March,1,2,_MCR0314,L1Q02C03,NA,2
March,1,2,_MCR0314,L1Q02C04,NA,1
March,1,2,_MCR0314,L1Q02C05,NA,1
March,1,2,_MCR0314,L1Q02C06,NA,0
March,1,2,_MCR0314,L1Q02C07,NA,0
March,1,2,_MCR0314,L1Q02C08,NA,0
March,1,3,_MCR0315,L1Q03C01,NA,1
March,1,3,_MCR0315,L1Q03C02,NA,0
March,1,3,_MCR0315,L1Q03C03,NA,1
March,1,3,_MCR0315,L1Q03C04,NA,2
March,1,3,_MCR0315,L1Q03C05,NA,2
March,1,3,_MCR0315,L1Q03C06,NA,0
March,1,3,_MCR0315,L1Q03C07,NA,0
March,1,3,_MCR0315,L1Q03C08,NA,0
March,1,3,_MCR0315,L1Q03C09,NA,0
March,1,3,_MCR0315,L1Q03C10,NA,0
March,1,3,_MCR0315,L1Q03C11,NA,1
March,1,3,_MCR0315,L1Q03C12,NA,0
March,1,3,_MCR0315,L1Q03C13,NA,0
March,1,3,_MCR0315,L1Q03C15,NA,0
March,1,4,_MCR0316,L1Q04C01,NA,1
March,1,4,_MCR0316,L1Q04C02,NA,2
March,1,4,_MCR0316,L1Q04C03,NA,0
March,1,4,_MCR0316,L1Q04C04,NA,0
March,1,4,_MCR0316,L1Q04C05,NA,0
March,1,4,_MCR0316,L1Q04C06,NA,1
March,1,4,_MCR0316,L1Q04C07,NA,1
March,1,4,_MCR0316,L1Q04C08,NA,1
March,1,4,_MCR0316,L1Q04C09,NA,1
March,1,4,_MCR0316,L1Q04C10,NA,0
March,1,4,_MCR0316,L1Q04C11,NA,2
March,1,4,_MCR0316,L1Q04C12,NA,0
March,1,4,_MCR0316,L1Q04C13,NA,0
March,1,4,_MCR0316,L1Q04C14,NA,0
March,1,5,_MCR0317,L1Q05C01,NA,1
March,1,5,_MCR0317,L1Q05C02,NA,2
March,1,5,_MCR0317,L1Q05C03,NA,0
March,1,5,_MCR0317,L1Q05C04,NA,0
March,1,5,_MCR0317,L1Q05C05,NA,2
March,1,5,_MCR0317,L1Q05C06,NA,0
March,1,5,_MCR0317,L1Q05C07,NA,0
March,1,5,_MCR0317,L1Q05C08,NA,0
March,1,5,_MCR0317,L1Q05C09,NA,0
March,1,5,_MCR0317,L1Q05C10,NA,1
March,1,5,_MCR0317,L1Q05C11,NA,0
March,1,5,_MCR0317,L1Q05C12,NA,1
March,1,5,_MCR0317,L1Q05C13,NA,1
March,1,5,_MCR0317,L1Q05C14,NA,0
March,1,6,_MCR0318,L1Q06C01,NA,2
March,1,6,_MCR0318,L1Q06C02,NA,1
March,1,6,_MCR0318,L1Q06C03,NA,0
March,1,6,_MCR0318,L1Q06C04,NA,3
March,1,6,_MCR0318,L1Q06C05,NA,1
March,1,6,_MCR0318,L1Q06C06,NA,1
March,1,6,_MCR0318,L1Q06C07,NA,0
March,1,6,_MCR0318,L1Q06C08,NA,2
March,1,6,_MCR0318,L1Q06C09,NA,2
March,1,6,_MCR0318,L1Q06C10,NA,0
March,1,6,_MCR0318,L1Q06C11,NA,0
March,1,6,_MCR0318,L1Q06C12,NA,0
March,1,6,_MCR0318,L1Q06C13,NA,0
March,1,6,_MCR0318,L1Q06C14,NA,1
March,1,6,_MCR0318,L1Q06C15,NA,0
March,1,7,_MCR0319,L1Q07C01,NA,2
March,1,7,_MCR0319,L1Q07C02,NA,1
March,1,7,_MCR0319,L1Q07C03,NA,1
March,1,7,_MCR0319,L1Q07C04,NA,1
March,1,7,_MCR0319,L1Q07C05,NA,1
March,1,7,_MCR0319,L1Q07C06,NA,3
March,1,7,_MCR0319,L1Q07C08,NA,1
March,1,7,_MCR0319,L1Q07C09,NA,0
March,1,7,_MCR0319,L1Q07C10,NA,0
March,1,7,_MCR0319,L1Q07C11,NA,0
March,1,7,_MCR0319,L1Q07C12,NA,0
March,1,7,_MCR0319,L1Q07C13,NA,2
March,1,7,_MCR0319,L1Q07C22,NA,0
March,1,8,_MCR0320,L1Q08C01,NA,1
March,1,8,_MCR0320,L1Q08C02,NA,1
March,1,8,_MCR0320,L1Q08C03,NA,1
March,1,8,_MCR0320,L1Q08C04,NA,0
March,1,8,_MCR0320,L1Q08C06,NA,3
March,1,8,_MCR0320,L1Q08C07,NA,1
March,1,8,_MCR0320,L1Q08C08,NA,1
March,1,8,_MCR0320,L1Q08C09,NA,1
March,1,8,_MCR0320,L1Q08C10,NA,2
March,1,8,_MCR0320,L1Q08C11,NA,1
March,1,8,_MCR0320,L1Q08C12,NA,1
March,1,8,_MCR0320,L1Q08C13,NA,2
March,1,8,_MCR0320,L1Q08C14,NA,2
March,1,8,_MCR0320,L1Q08C15,NA,2
March,1,9,_MCR0322,L1Q09C01,NA,1
March,1,9,_MCR0322,L1Q09C02,NA,1
March,1,9,_MCR0322,L1Q09C05,NA,0
March,1,9,_MCR0322,L1Q09C06,NA,0
March,1,9,_MCR0322,L1Q09C07,NA,0
March,1,9,_MCR0322,L1Q09C08,NA,1
March,1,9,_MCR0322,L1Q09C09,NA,2
March,1,9,_MCR0322,L1Q09C10,NA,1
March,1,9,_MCR0322,L1Q09C11,NA,1
March,1,9,_MCR0322,L1Q09C12,NA,0
March,1,9,_MCR0322,L1Q09C14,NA,0
March,1,9,_MCR0322,L1Q09C16,NA,0
March,1,9,_MCR0322,L1Q09C18,NA,1
March,1,9,_MCR0322,L1Q09C19,NA,1
March,1,9,_MCR0322,L1Q09C20,NA,2
March,1,10,_MCR0323,L1Q10C01,NA,1
March,1,10,_MCR0323,L1Q10C02,NA,2
March,1,10,_MCR0323,L1Q10C03,NA,0
March,1,10,_MCR0323,L1Q10C04,NA,1
March,1,10,_MCR0323,L1Q10C05,NA,0
March,1,10,_MCR0323,L1Q10C06,NA,2
March,1,10,_MCR0323,L1Q10C07,NA,0
March,1,10,_MCR0323,L1Q10C10,NA,0
March,1,10,_MCR0323,L1Q10C11,NA,0
March,1,10,_MCR0323,L1Q10C12,NA,0
March,1,10,_MCR0323,L1Q10C15,NA,0
March,1,10,_MCR0323,L1Q10C16,NA,0
March,1,10,_MCR0323,L1Q10C17,NA,0
March,1,10,_MCR0323,L1Q10C18,NA,0
March,1,10,_MCR0323,L1Q10C19,NA,1
March,1,10,_MCR0323,L1Q10C20,NA,0
March,1,10,_MCR0323,L1Q10C21,NA,0
March,1,10,_MCR0323,L1Q10C22,NA,0
March,1,11,_MCR0324,L1Q11C01,NA,0
March,1,11,_MCR0324,L1Q11C02,NA,1
March,1,11,_MCR0324,L1Q11C03,NA,2
March,1,11,_MCR0324,L1Q11C04,NA,0
March,1,11,_MCR0324,L1Q11C05,NA,0
March,1,11,_MCR0324,L1Q11C06,NA,1
March,1,11,_MCR0324,L1Q11C07,NA,0
March,1,11,_MCR0324,L1Q11C08,NA,0
March,1,11,_MCR0324,L1Q11C18,NA,2
March,1,11,_MCR0324,L1Q11C19,NA,1
March,1,12,_MCR0325,L1Q12C01,NA,0
March,1,12,_MCR0325,L1Q12C02,NA,0
March,1,12,_MCR0325,L1Q12C03,NA,0
March,1,12,_MCR0325,L1Q12C04,NA,0
March,1,12,_MCR0325,L1Q12C05,NA,1
March,1,12,_MCR0325,L1Q12C06,NA,1
March,1,12,_MCR0325,L1Q12C07,NA,0
March,1,12,_MCR0325,L1Q12C09,NA,0
March,1,12,_MCR0325,L1Q12C10,NA,2
March,1,12,_MCR0325,L1Q12C11,NA,0
March,1,12,_MCR0325,L1Q12C12,NA,0
March,1,12,_MCR0325,L1Q12C13,NA,1
March,1,12,_MCR0325,L1Q12C14,NA,0
March,1,12,_MCR0325,L1Q12C15,NA,1
March,1,12,_MCR0325,L1Q12C16,NA,0
March,1,12,_MCR0325,L1Q12C23,NA,0
March,1,12,_MCR0325,L1Q12C24,NA,0
March,1,13,_MCR0326,L1Q13C01,NA,3
March,1,13,_MCR0326,L1Q13C02,NA,1
March,1,13,_MCR0326,L1Q13C03,NA,0
March,1,13,_MCR0326,L1Q13C04,NA,0
March,1,13,_MCR0326,L1Q13C06,NA,0
March,1,13,_MCR0326,L1Q13C07,NA,2
March,1,13,_MCR0326,L1Q13C08,NA,1
March,1,13,_MCR0326,L1Q13C09,NA,0
March,1,13,_MCR0326,L1Q13C13,NA,1
March,1,13,_MCR0326,L1Q13C16,NA,1
March,1,13,_MCR0326,L1Q13C18,NA,0
March,1,13,_MCR0326,L1Q13C20,NA,0
March,1,14,_MCR0327,L1Q14C01,NA,2
March,1,14,_MCR0327,L1Q14C03,NA,2
March,1,14,_MCR0327,L1Q14C04,NA,1
March,1,14,_MCR0327,L1Q14C05,NA,1
March,1,14,_MCR0327,L1Q14C07,NA,2
March,1,14,_MCR0327,L1Q14C08,NA,0
March,1,14,_MCR0327,L1Q14C09,NA,0
March,1,14,_MCR0327,L1Q14C10,NA,0
March,1,14,_MCR0327,L1Q14C12,NA,0
March,1,14,_MCR0327,L1Q14C13,NA,1
March,1,14,_MCR0327,L1Q14C15,NA,0
March,1,14,_MCR0327,L1Q14C16,NA,1
March,1,14,_MCR0327,L1Q14C17,NA,0
March,1,14,_MCR0327,L1Q14C18,NA,0
March,1,14,_MCR0327,L1Q14C19,NA,1
March,1,14,_MCR0327,L1Q14C27,NA,1
March,1,14,_MCR0327,L1Q14C28,NA,1
March,1,14,_MCR0327,L1Q14C30,NA,0
March,1,14,_MCR0327,L1Q14C31,NA,0
March,1,14,_MCR0327,L1Q14C32,NA,0
March,1,14,_MCR0327,L1Q14C33,NA,1
March,1,15,_MCR0328,L1Q15C01,NA,0
March,1,15,_MCR0328,L1Q15C02,NA,1
March,1,15,_MCR0328,L1Q15C03,NA,1
March,1,15,_MCR0328,L1Q15C04,NA,0
March,1,15,_MCR0328,L1Q15C05,NA,2
March,1,15,_MCR0328,L1Q15C06,NA,0
March,1,15,_MCR0328,L1Q15C07,NA,2
March,1,15,_MCR0328,L1Q15C08,NA,0
March,1,15,_MCR0328,L1Q15C09,NA,0
March,1,15,_MCR0328,L1Q15C10,NA,2
March,1,15,_MCR0328,L1Q15C11,NA,0
March,1,15,_MCR0328,L1Q15C12,NA,3
March,1,15,_MCR0328,L1Q15C13,NA,0
March,1,15,_MCR0328,L1Q15C14,NA,1
March,1,15,_MCR0328,L1Q15C15,NA,0
March,1,15,_MCR0328,L1Q15C17,NA,1
March,1,15,_MCR0328,L1Q15C19,NA,0
March,1,15,_MCR0328,L1Q15C20,NA,0
March,1,15,_MCR0328,L1Q15C31,NA,0
March,1,15,_MCR0328,L1Q15C32,NA,0
March,1,16,_MCR0329,L1Q16C01,NA,0
March,1,16,_MCR0329,L1Q16C02,NA,0
March,1,16,_MCR0329,L1Q16C03,NA,0
March,1,16,_MCR0329,L1Q16C04,NA,0
March,1,16,_MCR0329,L1Q16C05,NA,0
March,1,16,_MCR0329,L1Q16C06,NA,0
March,1,16,_MCR0329,L1Q16C07,NA,0
March,1,16,_MCR0329,L1Q16C08,NA,0
March,1,16,_MCR0329,L1Q16C10,NA,0
March,1,16,_MCR0329,L1Q16C11,NA,0
March,1,16,_MCR0329,L1Q16C12,NA,0
March,1,17,_MCR0331,L1Q17C01,NA,1
March,1,17,_MCR0331,L1Q17C02,NA,3
March,1,17,_MCR0331,L1Q17C03,NA,1
March,1,17,_MCR0331,L1Q17C04,NA,0
March,1,17,_MCR0331,L1Q17C05,NA,0
March,1,17,_MCR0331,L1Q17C06,NA,0
March,1,17,_MCR0331,L1Q17C07,NA,1
March,1,17,_MCR0331,L1Q17C08,NA,1
March,1,17,_MCR0331,L1Q17C09,NA,0
March,1,17,_MCR0331,L1Q17C10,NA,0
March,1,17,_MCR0331,L1Q17C11,NA,0
March,1,17,_MCR0331,L1Q17C12,NA,0
March,1,17,_MCR0331,L1Q17C14,NA,1
March,1,17,_MCR0331,L1Q17C19,NA,0
March,1,17,_MCR0331,L1Q17C20,NA,0
March,1,18,_MCR0332,L1Q18C01,NA,0
March,1,18,_MCR0332,L1Q18C02,NA,1
March,1,18,_MCR0332,L1Q18C03,NA,1
March,1,18,_MCR0332,L1Q18C04,NA,1
March,1,18,_MCR0332,L1Q18C06,NA,1
March,1,18,_MCR0332,L1Q18C07,NA,1
March,1,18,_MCR0332,L1Q18C10,NA,0
March,1,18,_MCR0332,L1Q18C11,NA,1
March,1,18,_MCR0332,L1Q18C12,NA,1
March,1,18,_MCR0332,L1Q18C14,NA,1
March,1,18,_MCR0332,L1Q18C16,NA,1
March,1,18,_MCR0332,L1Q18C17,NA,0
March,1,18,_MCR0332,L1Q18C19,NA,0
March,1,18,_MCR0332,L1Q18C23,NA,0
March,1,18,_MCR0332,L1Q18C24,NA,0
March,1,18,_MCR0332,L1Q18C26,NA,0
March,1,18,_MCR0332,L1Q18C27,NA,0
March,1,19,_MCR0333,L1Q19C01,NA,2
March,1,19,_MCR0333,L1Q19C02,NA,2
March,1,19,_MCR0333,L1Q19C03,NA,2
March,1,19,_MCR0333,L1Q19C04,NA,1
March,1,19,_MCR0333,L1Q19C05,NA,0
March,1,19,_MCR0333,L1Q19C06,NA,0
March,1,19,_MCR0333,L1Q19C07,NA,0
March,1,19,_MCR0333,L1Q19C08,NA,1
March,1,19,_MCR0333,L1Q19C09,NA,0
March,1,19,_MCR0333,L1Q19C12,NA,0
March,1,19,_MCR0333,L1Q19C13,NA,1
March,1,19,_MCR0333,L1Q19C14,NA,0
March,1,19,_MCR0333,L1Q19C15,NA,0
March,1,19,_MCR0333,L1Q19C18,NA,0
March,1,19,_MCR0333,L1Q19C19,NA,0
March,1,19,_MCR0333,L1Q19C21,NA,0
March,1,20,_MCR0334,L1Q20C01,NA,0
March,1,20,_MCR0334,L1Q20C02,NA,0
March,1,20,_MCR0334,L1Q20C03,NA,0
March,1,20,_MCR0334,L1Q20C04,NA,0
March,1,20,_MCR0334,L1Q20C05,NA,0
March,1,20,_MCR0334,L1Q20C06,NA,2
March,1,20,_MCR0334,L1Q20C07,NA,1
March,1,20,_MCR0334,L1Q20C08,NA,1
March,1,20,_MCR0334,L1Q20C09,NA,1
March,1,20,_MCR0334,L1Q20C10,NA,0
March,1,20,_MCR0334,L1Q20C11,NA,1
March,1,20,_MCR0334,L1Q20C14,NA,0
March,1,20,_MCR0334,L1Q20C15,NA,0
March,1,20,_MCR0334,L1Q20C16,NA,2
March,1,20,_MCR0334,L1Q20C17,NA,1
March,1,20,_MCR0334,L1Q20C19,NA,0
March,1,20,_MCR0334,L1Q20C20,NA,0
March,1,20,_MCR0334,L1Q20C21,NA,0
March,1,20,_MCR0334,L1Q20C28,NA,0
March,1,20,_MCR0334,L1Q20C29,NA,0
March,1,20,_MCR0334,L1Q20C31,NA,0
March,1,21,_MCR0335,L1Q21C01,NA,1
March,1,21,_MCR0335,L1Q21C02,NA,0
March,1,21,_MCR0335,L1Q21C03,NA,0
March,1,21,_MCR0335,L1Q21C04,NA,0
March,1,21,_MCR0335,L1Q21C05,NA,0
March,1,21,_MCR0335,L1Q21C06,NA,0
March,1,21,_MCR0335,L1Q21C08,NA,0
March,1,21,_MCR0335,L1Q21C10,NA,0
March,1,21,_MCR0335,L1Q21C11,NA,1
March,1,21,_MCR0335,L1Q21C12,NA,0
March,1,21,_MCR0335,L1Q21C13,NA,3
March,1,21,_MCR0335,L1Q21C14,NA,0
March,1,21,_MCR0335,L1Q21C16,NA,0
March,1,21,_MCR0335,L1Q21C17,NA,0
March,1,21,_MCR0335,L1Q21C18,NA,1
March,1,21,_MCR0335,L1Q21C19,NA,0
March,1,21,_MCR0335,L1Q21C20,NA,2
March,1,21,_MCR0335,L1Q21C22,NA,0
March,1,21,_MCR0335,L1Q21C23,NA,0
March,1,21,_MCR0335,L1Q21C24,NA,0
March,1,21,_MCR0335,L1Q21C25,NA,1
March,1,21,_MCR0335,L1Q21C26,NA,0
March,1,21,_MCR0335,L1Q21C27,NA,0
March,1,21,_MCR0335,L1Q21C28,NA,1
March,1,21,_MCR0335,L1Q21C29,NA,0
March,1,22,_MCR0336,L1Q22C02,NA,0
March,1,22,_MCR0336,L1Q22C04,NA,1
March,1,22,_MCR0336,L1Q22C05,NA,2
March,1,22,_MCR0336,L1Q22C06,NA,0
March,1,22,_MCR0336,L1Q22C07,NA,0
March,1,22,_MCR0336,L1Q22C09,NA,0
March,1,22,_MCR0336,L1Q22C10,NA,0
March,1,22,_MCR0336,L1Q22C11,NA,0
March,1,22,_MCR0336,L1Q22C12,NA,0
March,1,22,_MCR0336,L1Q22C13,NA,0
March,1,22,_MCR0336,L1Q22C14,NA,0
March,1,22,_MCR0336,L1Q22C16,NA,0
March,1,22,_MCR0336,L1Q22C17,NA,0
March,1,23,_MCR0338,L1Q23C01,NA,3
March,1,23,_MCR0338,L1Q23C02,NA,1
March,1,23,_MCR0338,L1Q23C03,NA,0
March,1,23,_MCR0338,L1Q23C04,NA,2
March,1,23,_MCR0338,L1Q23C05,NA,0
March,1,23,_MCR0338,L1Q23C07,NA,0
March,1,23,_MCR0338,L1Q23C08,NA,2
March,1,23,_MCR0338,L1Q23C09,NA,1
March,1,23,_MCR0338,L1Q23C13,NA,1
March,1,23,_MCR0338,L1Q23C14,NA,0
March,1,23,_MCR0338,L1Q23C16,NA,2
March,1,23,_MCR0338,L1Q23C17,NA,0
March,1,23,_MCR0338,L1Q23C18,NA,0
March,1,23,_MCR0338,L1Q23C19,NA,0
March,1,23,_MCR0338,L1Q23C20,NA,0
March,1,23,_MCR0338,L1Q23C21,NA,0
March,1,24,_MCR0339,L1Q24C01,NA,1
March,1,24,_MCR0339,L1Q24C02,NA,1
March,1,24,_MCR0339,L1Q24C04,NA,0
March,1,24,_MCR0339,L1Q24C05,NA,0
March,1,24,_MCR0339,L1Q24C06,NA,1
March,1,24,_MCR0339,L1Q24C07,NA,2
March,1,24,_MCR0339,L1Q24C08,NA,2
March,1,24,_MCR0339,L1Q24C10,NA,1
March,1,24,_MCR0339,L1Q24C11,NA,1
March,1,24,_MCR0339,L1Q24C12,NA,1
March,1,24,_MCR0339,L1Q24C13,NA,1
March,1,24,_MCR0339,L1Q24C14,NA,0
March,1,24,_MCR0339,L1Q24C17,NA,1
March,1,24,_MCR0339,L1Q24C18,NA,0
March,1,24,_MCR0339,L1Q24C19,NA,1
March,1,24,_MCR0339,L1Q24C20,NA,0
March,1,24,_MCR0339,L1Q24C21,NA,1
March,1,24,_MCR0339,L1Q24C23,NA,0
March,1,24,_MCR0339,L1Q24C24,NA,1
March,1,25,_MCR0340,L1Q25C01,NA,0
March,1,25,_MCR0340,L1Q25C02,NA,2
March,1,25,_MCR0340,L1Q25C03,NA,1
March,1,25,_MCR0340,L1Q25C04,NA,1
March,1,25,_MCR0340,L1Q25C05,NA,0
March,1,25,_MCR0340,L1Q25C06,NA,0
March,1,25,_MCR0340,L1Q25C07,NA,0
March,1,25,_MCR0340,L1Q25C08,NA,0
March,1,25,_MCR0340,L1Q25C09,NA,0
March,1,25,_MCR0340,L1Q25C10,NA,0
March,1,25,_MCR0340,L1Q25C12,NA,1
March,1,25,_MCR0340,L1Q25C13,NA,0
March,1,26,_MCR0341,L1Q26C01,NA,1
March,1,26,_MCR0341,L1Q26C02,NA,1
March,1,26,_MCR0341,L1Q26C04,NA,1
March,1,26,_MCR0341,L1Q26C06,NA,0
March,1,26,_MCR0341,L1Q26C07,NA,1
March,1,26,_MCR0341,L1Q26C08,NA,1
March,1,26,_MCR0341,L1Q26C09,NA,1
March,1,26,_MCR0341,L1Q26C10,NA,0
March,1,26,_MCR0341,L1Q26C11,NA,0
March,1,26,_MCR0341,L1Q26C12,NA,0
March,1,26,_MCR0341,L1Q26C13,NA,0
March,1,26,_MCR0341,L1Q26C14,NA,0
March,1,27,_MCR0342,L1Q27C01,NA,2
March,1,27,_MCR0342,L1Q27C03,NA,0
March,1,27,_MCR0342,L1Q27C04,NA,2
March,1,27,_MCR0342,L1Q27C05,NA,2
March,1,27,_MCR0342,L1Q27C08,NA,0
March,1,27,_MCR0342,L1Q27C09,NA,2
March,1,27,_MCR0342,L1Q27C10,NA,0
March,1,27,_MCR0342,L1Q27C11,NA,2
March,1,27,_MCR0342,L1Q27C12,NA,1
March,1,27,_MCR0342,L1Q27C13,NA,0
March,1,27,_MCR0342,L1Q27C14,NA,1
March,1,27,_MCR0342,L1Q27C15,NA,1
March,1,27,_MCR0342,L1Q27C16,NA,1
March,1,28,_MCR0343,L1Q28C01,NA,1
March,1,28,_MCR0343,L1Q28C04,NA,0
March,1,28,_MCR0343,L1Q28C05,NA,3
March,1,28,_MCR0343,L1Q28C08,NA,0
